Прайс-лист на 7 февраля 2025 г.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Номенклатура;;;;;;;;;;;;ХРК;ХРК ЕК;
;;;;;;;;;;;;руб;руб;
;;;;;;;;;;;;Включает НДС;Включает НДС;
;;;;;;;;;;;;Цена;Цена;
Продукция;;;;;;;;;;;;;;
HoReCa минус;;;;;;;;;;;;;;
Тортилья пшеничная Tortillas 10d 12х10/ 800г/10шт (шт) ;;;;;;;;;;;;204,53;;
Тортилья пшеничная с сыром Tortillas 10d/810г/10шт (шт);;;;;;;;;;;;232,53;;
"Хлеб пшеничный ""Харрис"" нарез. 470г/10шт (кор)";;;;;;;;;;;;140,44;;
ВкусON +/Sibylla +;;;;;;;;;;;;;;
*Кукуруза сладкая в зернах в/у 170гр/12шт Лукойл;;;;;;;;;;;;128,52;;
*Сэндвич-соус 200гр/10шт ;;;;;;;;;;;;152,34;;
"Горчица ""АРОМАТНАЯ"" 850гр/6шт ";;;;;;;;;;;;343,74;;
Кетчуп 850гр/6шт ;;;;;;;;;;;;343,74;;
Конверт д/гамбургера 2,5г/1000шт;;;;;;;;;;;;2,25;;
Конверт д/хот-дога 2г/1000шт;;;;;;;;;;;;2,25;;
Лук репчатый жареный 1кг/10шт;;;;;;;;;;;;1 367,43;;
"Майонез ""Гамбургер"" 850гр/6шт ";;;;;;;;;;;;547,63;;
Огурцы нарезанные кружочками «Валдайский погребок» 720мл 670гр/8шт;;;;;;;;;;;;384,50;;
Салат из огурцов 680гр/8шт ;;;;;;;;;;;;569,03;;
Салфетка ВкусON 2,36г/250шт (шт);;;;;;;;;;;;1,38;;
Соус майонезный «Коктейль» 850гр/6шт ;;;;;;;;;;;;438,18;;
Соус Шрирача 240мл 266гр/8шт ;;;;;;;;;;;;221,70;;
"Сыр ""Топпинг ""Чеддер"" классический"" 250гр/5шт ";;;;;;;;;;;;200,27;;
Консервация;;;;;;;;;;;;;;
**Каперсы с ножкой Antica Napoli 720мл/12шт (шт);;;;;;;;;;;;560,56;;
"**Томатная паста ""Персона"" 25% 3л/ведро(шт).";;;;;;;;;;;;561,02;;
Ананасы кольца 580мл/12шт Lutik (шт);;;;;;;;;;;;189,00;;
Ананасы кольца 580мл/12шт Вьетнам (шт);;;;;;;;;;;;183,00;;
Анчоусы филе (килька) в масле 145г/6шт Россия (шт);;;;;;;;;;;;229,31;;
Анчоусы филе в масле ст/б 700г/6шт Тунис (шт);;;;;;;;;;;;3 024,71;;
Анчоусы филе в масле ст/б 90г/12шт Тунис (шт);;;;;;;;;;;;464,72;;
Вишня коктейльная Бояринъ с/б 720мл/12шт (шт);;;;;;;;;;;;449,42;;
Горошек зел. Бояринъ ж/б  425мл/12шт ;;;;;;;;;;;;86,48;;
Грибы Опята маринов. ж/б 3100мл/6шт Бояринъ (шт);;;;;;;;;;;;1 148,26;;
Грибы Опята маринов. с/б 580мл/12шт Бояринъ (шт);;;;;;;;;;;;230,09;;
Каперсы в уксусе Antica Napoli 700г/6шт (шт);;;;;;;;;;;;540,18;;
Корнишоны с/б 720мл/8шт Бояринъ (шт);;;;;;;;;;;;152,50;;
Корнишоны-огурцы марин.3-6 см ж/б 3100мл/6шт  Бояринъ (шт);;;;;;;;;;;;767,88;;
Кукуруза в початках с/б 370мл/12шт Бояринъ (шт);;;;;;;;;;;;187,22;;
Кукуруза ж/б 425мл/12шт Бояринъ Полтавские консервы (шт);;;;;;;;;;;;92,68;;
Маслины б/к ж/б 300мл/12шт Бояринъ  (шт);;;;;;;;;;;;123,05;;
Маслины б/к ж/б Бояринъ 3100 мл/6шт (шт);;;;;;;;;;;;1 315,71;;
Маслины рез. б/к ж/б 3100мл/6шт Бояринъ (шт);;;;;;;;;;;;1 218,04;;
Огурцы 9-12см 10,2л ж/б, Германия (шт);;;;;;;;;;;;2 191,05;;
Огурцы маринов. 9-12см ж/б 3100 мл/6шт Бояринъ(Вьетнам) (шт);;;;;;;;;;;;593,73;;
Огурцы маринованные 6-9 см ж/б 3100мл/6шт Бояринъ (шт);;;;;;;;;;;;643,68;;
Огурцы маринованные 9-12 ж/б 3100мл/4шт Бояринъ (шт);;;;;;;;;;;;534,33;;
Огурцы маринованные с/б 720мл/8шт Боярин  (шт);;;;;;;;;;;;134,61;;
Огурцы слайсы (резан. кольцами) ж/б 4250мл/3шт Бояринъ (шт);;;;;;;;;;;;895,73;;
Оливки б/к ж/б 300мл/12шт RioLiva (шт);;;;;;;;;;;;113,40;;
Оливки б/к ж/б 300мл/12шт Бояринъ (шт);;;;;;;;;;;;122,85;;
Персики половинки ж/б 850мл/12шт Бояринъ (шт);;;;;;;;;;;;239,36;;
Том. паста с/б 1000г/6шт Кухмастер (шт);;;;;;;;;;;;249,75;;
"Томатная паста 25% ""Родник"" 10кг/кор (кор)";;;;;;;;;;;;163,80;;
Томаты маринов. с/б 720мл/8шт Бояринъ (шт);;;;;;;;;;;;116,05;;
Томаты маринов. Черри с/б 720мл/8шт Бояринъ (шт);;;;;;;;;;;;131,91;;
Томаты маринов.Черри Скатерть -Самобранка с/б 720мл/8шт (шт);;;;;;;;;;;;130,01;;
Томаты мелкорезанные Fresco Natura 2,5кг/6шт (шт);;;;;;;;;;;;760,50;;
"Томаты очищенные ""Мутти"" 2,5кг/6шт Италия (шт)";;;;;;;;;;;;1 032,30;;
Томаты сушеные в масле 0,9кг/6шт Италия (шт);;;;;;;;;;;;1 202,66;;
Тунец кусочками в с/с ж/б 1700г/6шт. Бояринъ (шт);;;;;;;;;;;;1 388,61;;
Фасоль белая ж/б 425мл12шт Бояринъ (шт);;;;;;;;;;;;79,65;;
Фасоль красная ж/б 425мл/12шт Бояринъ (шт);;;;;;;;;;;;80,53;;
Филе сельди деликатесное Матиас 500г/6шт (шт);;;;;;;;;;;;370,14;;
Филе сельди Русрыба 1кг/4шт (шт);;;;;;;;;;;;544,70;;
Филе сельди Русрыба 3кг (шт);;;;;;;;;;;;1 852,50;;
Шампиньоны резан. с вешанкой.Бояринъ ж/б 3100мл/6шт (шт);;;;;;;;;;;;512,33;;
Макаронные изделия;;;;;;;;;;;;;;
Макароны Вермишель группа В 5 кг/мешок (шт);;;;;;;;;;;;306,98;;
Макароны Рожки группа В 5 кг/мешок (шт);;;;;;;;;;;;306,98;;
Макароны Спагетти группа В  5 кг/мешок (шт);;;;;;;;;;;;308,62;;
Макароны Спиралька группа В  5 кг/мешок (шт);;;;;;;;;;;;306,98;;
Спагетти Barilla 450гр/24шт Россия (шт);;;;;;;;;;;;102,70;;
Тальятелле Barilla 500г/12шт Россия (шт);;;;;;;;;;;;248,87;;
Фарфалле Barilla 400гр/12шт Россия (шт);;;;;;;;;;;;108,90;;
Фузилли Barilla 450гр/12шт Россия (шт);;;;;;;;;;;;102,70;;
Масла/жиры;;;;;;;;;;;;;;
Майонез EFKO FOOD professional 78% 3кг/1шт (шт);;;;;;;;;;;;911,95;;
Майонез Провансаль 67%, ЕЖК, 900мл/6шт (шт);;;;;;;;;;;;229,50;;
"Майонез Провансаль""Персона"" 55% 10л/ведро(шт).";;;;;;;;;;;;1 389,15;;
"Майонез Провансаль""Персона"" 67% 10л/ведро(шт).";;;;;;;;;;;;1 720,99;;
"Масло оливковое ""Los Dones"" 1л/12шт (шт)";;;;;;;;;;;;587,25;;
"Масло оливковое EXTRA VERGIN классич.""De Cecco"" 1л/12 шт Италия (шт)";;;;;;;;;;;;2 049,30;;
"Масло подсолнечное ""Масленница"" 1 л/15шт (шт)";;;;;;;;;;;;169,95;;
"Масло подсолнечное ""Олейна"" 1 л/15шт (шт)";;;;;;;;;;;;172,65;;
Масло подсолнечное Сигма 1л/15шт (шт);;;;;;;;;;;;152,55;;
"Масло фритюрное ""IDEAL PRO"" 5л/3шт (шт)";;;;;;;;;;;;863,30;;
"Масло фритюрное ""SoloCHEFF 555"" 5л/2шт (шт)";;;;;;;;;;;;863,33;;
Молочная продукция;;;;;;;;;;;;;;
**Крем взбитый У-ЛА-ЛА 250гр/12шт ;;;;;;;;;;;;304,85;;
**Сливки растительные Шантипак 26% тетра-пак 1л/12шт (шт);;;;;;;;;;;;390,00;;
"Молоко ""Тяжин"" ультрапастериз. 3,2% 1л/12 шт (шт)";;;;;;;;;;;;81,90;;
Молоко Молочная речка 3,2% 0,973л/12шт Россия (шт);;;;;;;;;;;;116,12;;
Молоко Молочная речка 3,5% 0,973л/12шт Россия (шт);;;;;;;;;;;;126,84;;
Сливки д/взбивания Молочная речка 33% крем сливочный 1л/12шт Россия (шт);;;;;;;;;;;;715,00;;
Сливки Молочная речка 11% 1л/12шт (шт);;;;;;;;;;;;240,38;;
Сливки Молочная речка 22% 1л/12шт Россия (шт);;;;;;;;;;;;529,67;;
Сметанный продукт Альпийская коровка 20% 400 гр/12шт (шт);;;;;;;;;;;;86,84;;
Соусы/прочее;;;;;;;;;;;;;;
**Топпинг ванильный Dolce Rosa 1л/6шт Россия (шт);;;;;;;;;;;;328,90;;
"*Соус ""Worchester"" 140мл/12шт Германия (шт)";;;;;;;;;;;;444,73;;
"Аджика ""Кавказская"" стекло твист 250г/12 шт (шт)";;;;;;;;;;;;38,48;;
Горчица Дижонская Bister пл/б 1кг/6шт (шт);;;;;;;;;;;;599,87;;
"Горчица зернистая ""Bister"" пл/б 1кг/6шт (шт)";;;;;;;;;;;;655,20;;
Горчица столовая с/б 250гр/12 шт Россия (шт);;;;;;;;;;;;72,51;;
"Кетчуп ""Родник"" Томатный 750г/9шт Россия (шт)";;;;;;;;;;;;70,20;;
"Кетчуп ""Родник"" Шашлычный 750г/9шт Россия (шт)";;;;;;;;;;;;70,20;;
Кетчуп Heinz 800г/8шт Россия (шт);;;;;;;;;;;;230,72;;
Кетчуп Heinz пакет 2кг/6шт Россия (шт);;;;;;;;;;;;574,17;;
Кетчуп томатный 2кг/5шт (шт);;;;;;;;;;;;430,30;;
Повидло Персик 63% ГОСТ 4шт/2,5 кг Россия (шт);;;;;;;;;;;;416,00;;
Повидло Яблоко 63% ГОСТ 4шт/2,5 кг Россия (шт);;;;;;;;;;;;422,50;;
"Соус ""Пикантный"" (Черный перец) 1кг/4шт Россия (шт)";;;;;;;;;;;;350,00;;
Соус Барбекью Heinz 1кг/6шт Россия (шт);;;;;;;;;;;;471,04;;
Соус Барбекю пакет 1кг/4шт Россия (шт);;;;;;;;;;;;343,20;;
Соус Ворчестер 0,5л/20шт Россия (шт);;;;;;;;;;;;335,40;;
"Соус Гранатовый ""Наршараб"" 400г/6шт (шт)";;;;;;;;;;;;296,11;;
"Соус для пиццы ""Fresco Natura"" 4,1кг/3шт Италия (шт)";;;;;;;;;;;;1 589,64;;
"Соус для пиццы ""IL PIZZAIOLLO"" 4,05кг/3шт Италия (шт)";;;;;;;;;;;;1 307,67;;
"Соус для пиццы ""МУТТИ""4,25л/3шт Италия (шт)";;;;;;;;;;;;2 225,34;;
"Соус для пиццы классический ""COOK ME PRO"" 4,1кг/3шт (шт)";;;;;;;;;;;;1 170,00;;
Соус острый Табаско с красным перцем 150мл/12 шт (шт);;;;;;;;;;;;728,09;;
Соус песто Дженовезе 190г/12 шт Россия (шт);;;;;;;;;;;;277,75;;
Соус сырный Heinz 1кг/6 шт Россия (шт);;;;;;;;;;;;544,17;;
Соус сырный пакет 1кг/4шт Россия (шт);;;;;;;;;;;;412,10;;
Соус Цезарь Heinz пакет 2кг Россия (шт);;;;;;;;;;;;1 414,83;;
"Соус-крем бальзамный 500мл темный Карандини ""IL TORRIONE"" 12шт/кор (шт)";;;;;;;;;;;;606,53;;
Топпинг вишневый Dolce Rosa 1л/6шт Россия (шт);;;;;;;;;;;;351,00;;
Топпинг карамель Dolce Rosa 1л/6шт Россия (шт);;;;;;;;;;;;351,00;;
Топпинг клубничный 1л/6шт Россия (шт);;;;;;;;;;;;413,40;;
Топпинг клубничный Dolce Rosa 1л/6шт Россия (шт);;;;;;;;;;;;328,90;;
Топпинг шоколадный Dolce Rosa 1л/6шт Россия (шт);;;;;;;;;;;;364,00;;
Уксус столовый 9% 1л/9шт Румянка (шт);;;;;;;;;;;;57,79;;
Хрен сливочный с/б 250г/6шт КЮНЭ (кор);;;;;;;;;;;;367,63;;
Специи;;;;;;;;;;;;;;
*Гвоздика целая  Партнер 250гр/20шт.;;;;;;;;;;;;559,00;;
*Кардамон молотый Айдиго банка 800г/8шт (шт);;;;;;;;;;;;1 365,00;;
*Приправа Карри Партнер 1кг/5шт.;;;;;;;;;;;;384,80;;
Бадьян Партнер 100г/12 шт (шт);;;;;;;;;;;;240,50;;
Базилик Партнер 200г/10шт.;;;;;;;;;;;;96,20;;
Ванилин Партнер 500гр./10шт.;;;;;;;;;;;;540,80;;
Зира (кумин) семя Партнер 400г/12шт.;;;;;;;;;;;;620,10;;
Картофельный крахмал Партнер 1кг/10шт.;;;;;;;;;;;;208,00;;
Лимонная кислота Пряна Партнер 1кг/10шт;;;;;;;;;;;;247,00;;
Мята Партнер 100г/8шт.;;;;;;;;;;;;62,40;;
Паприка красная мол. Аста-120 Партнер 1кг/7шт. (шт);;;;;;;;;;;;451,10;;
Паприка красная мол. копченая Аста-130 Партнер 500гр/10шт. (шт);;;;;;;;;;;;469,30;;
Перец красный острый Партнер 1кг/5шт;;;;;;;;;;;;444,60;;
Перец черный молотый Партнер 1кг/8шт. (шт);;;;;;;;;;;;559,00;;
Приправа для курицы Партнер 500гр/10шт;;;;;;;;;;;;206,70;;
Приправа для плова Партнер 1кг/10шт.;;;;;;;;;;;;354,90;;
Приправа для шашлыка  Партнер 1кг/10шт.;;;;;;;;;;;;392,60;;
Приправа Универсальная  Партнер 1кг/10шт.;;;;;;;;;;;;236,60;;
"Пудра сахарная ""Промпоставка"" 1кг/10шт (шт)";;;;;;;;;;;;198,41;;
Разрыхлитель теста  Партнер 1кг/5шт.;;;;;;;;;;;;228,80;;
Хмели Сунели  Партнер 1кг/5шт.;;;;;;;;;;;;297,70;;
Чеснок мол. сушеный порошок Партнер 1кг/7шт.;;;;;;;;;;;;479,70;;
Сыры;;;;;;;;;;;;;;
**Сыр Камамбер Great Kitchen 0,125кг/8шт (шт);;;;;;;;;;;;204,43;;
**Сыр Фета Сиртаки 35% классик 330гр/15шт (шт).;;;;;;;;;;;;239,12;;
Сыр Брынза Сербская 40% 450гр (шт);;;;;;;;;;;;348,53;;
Сыр Гауда Белебей 45% (брус 4,5 кг) Башкирия (кг);;;;;;;;;;;;894,40;;
Сыр Гауда ЗМЖ вес ЮКМП 50% (кг);;;;;;;;;;;;565,50;;
Сыр Голландский Белебей 45%  ~4,5кг Башкирия (кг);;;;;;;;;;;;894,40;;
Сыр Голландский ЗМЖ вес ЮКМП 50% (кг);;;;;;;;;;;;565,50;;
Сыр Дорблю с голубой плесенью 50% 1кг (кг) ;;;;;;;;;;;;1 401,40;;
Сыр Маасдам 45% 1кг Сыры Кубани (вес);;;;;;;;;;;;1 082,90;;
Сыр Моцарелла Extra Alti 2кг/50% Россия (кг);;;;;;;;;;;;588,90;;
Сыр Моцарелла Filare 35% ~2кг Россия (кг);;;;;;;;;;;;720,20;;
Сыр Моцарелла La Paulina 42% (кг);;;;;;;;;;;;1 011,40;;
Сыр Моцарелла Pizza 40% Cheese House Pro (кг);;;;;;;;;;;;484,90;;
"Сыр Моцарелла для пиццы ""Pizzaretti"" 50%, 9шт~2кг (кг)*";;;;;;;;;;;;408,20;;
Сыр Моцарелла для пиццы 50% 2кг/6шт ЮКМП (цена за 2кг);;;;;;;;;;;;816,00;;
Сыр Пармезан 1/4 головы вес ЮКМП 45%~1,5кг (кг);;;;;;;;;;;;854,10;;
Сыр Пармезан 45% брус ~5кг (кг) Беларусь;;;;;;;;;;;;891,80;;
Сыр Пармезан 45% круг 9кг (кг) Беларусь;;;;;;;;;;;;946,40;;
Сыр Пармезан Ricrem 42% 2,5кг Аргентина (кг);;;;;;;;;;;;1 583,40;;
Сыр Пармезан Дольче 40% ~ 6кг/2шт Уругвай (кг);;;;;;;;;;;;1 648,40;;
"Сыр плавленный ""Президент"" 400гр /8шт (шт) Россия";;;;;;;;;;;;356,21;;
Сыр плавленный ломтевой Amber 500г/12шт Россия (шт);;;;;;;;;;;;397,80;;
Сыр Российский ЗМЖ вес ЮКМП 50% (кг);;;;;;;;;;;;565,50;;
Сыр с голубой плесенью BLUE ТМ Schonfeld 54% ~2,2кг Аргентина (кг);;;;;;;;;;;;1 895,40;;
Сыр Сулугуни 50% 2кг/6шт ЮКМП (цена за 2кг);;;;;;;;;;;;715,00;;
Сыр творожный 65% ведро, SERVOLUX PROFESSIONAL 11 кг Беларусь (Смолевичи) (шт);;;;;;;;;;;;6 502,60;;
Сыр творожный 65% ведро, SERVOLUX PROFESSIONAL 2,2кг/4шт Беларусь (Смолевичи) (шт);;;;;;;;;;;;1 341,08;;
Сыр творожный KITCHN! 65% ведро 11кг (шт);;;;;;;;;;;;6 363,50;;
Сыр творожный KITCHN! 65% ведро 2кг/4шт (шт);;;;;;;;;;;;1 183,00;;
Сыр Фета (комбинированный рассольный продукт) Contandino 55% 1кг/12шт Египет (шт);;;;;;;;;;;;471,90;;
Сыр Фета Сиртаки 55% оригинал 330гр/15шт (шт);;;;;;;;;;;;226,12;;
Сыр Чеддер красный вес 50% Березино (Беларусь) (кг);;;;;;;;;;;;777,40;;
Сыр Чеддер оранжевый вес 45% Радость Вкуса (кг);;;;;;;;;;;;972,40;;
Тайская кухня;;;;;;;;;;;;;;
**Бумага рисовая AROY-D 454г/44шт Тайланд (шт);;;;;;;;;;;;403,88;;
Молоко кокосовое 18% Midori ж/б 400мл/12шт Тайланд (шт);;;;;;;;;;;;185,22;;
Молоко кокосовое AROY-D 1л/12шт Тетра пак (шт);;;;;;;;;;;;470,00;;
Молоко кокосовое Aroy-D 400мл/24шт (шт);;;;;;;;;;;;211,50;;
Молоко кокосовое AROY-D 500мл/24шт Тетра Пак (шт);;;;;;;;;;;;247,50;;
"Соус острый ""Шрирача"" 510г Тайланд/12шт (шт)";;;;;;;;;;;;276,99;;
Соус рыбный 0.7л/12шт Aroy-D ,Таиланд (шт);;;;;;;;;;;;365,75;;
Соус устричный Pearl River Bridge 510г ст/бут 12шт/кор  Китай (шт);;;;;;;;;;;;208,14;;
Соус Чили сладкий для курицы AROY 2,4л/6шт (шт);;;;;;;;;;;;804,00;;
Соус Чили сладкий для курицы AROY-D 0,92 кг/12шт (шт);;;;;;;;;;;;358,20;;
Японская кухня;;;;;;;;;;;;;;
**Бульон рыбный концентрированный (Hondashi) 1кг/10шт Китай (шт);;;;;;;;;;;;713,27;;
**Водоросли Комбу 1кг/10шт Китай (шт);;;;;;;;;;;;1 335,00;;
**Водоросли морские сушен.(Вакаме cut) 500г/20шт Китай (шт);;;;;;;;;;;;836,25;;
**Галангал сушеный резаный 100г/50шт (шт);;;;;;;;;;;;211,95;;
**Заправка для салата Tamaki 470гр/6шт (шт) ;;;;;;;;;;;;254,10;;
"**Лук жареный ""MANESK"", Китай 1кг/10штук (шт)";;;;;;;;;;;;564,30;;
**Лук жареный Yakimal 1кг/10штук (шт);;;;;;;;;;;;631,80;;
**Маменори сан зеленые (соевая бумага)  ТОФУ 1уп/20штТайвань (шт);;;;;;;;;;;;872,21;;
**Маменори сан оранжевые (соевая бумага) ТОФУ 1уп/20шт Тайвань (шт);;;;;;;;;;;;888,57;;
**Мука панировочная пшеничн. Кляр Мидори Корея 1кг/10шт (шт);;;;;;;;;;;;431,25;;
**Паста острая Табаджан 0,92 кг/6шт Китай (шт);;;;;;;;;;;;620,70;;
**Паста соевая светлая 1кг/10шт Китай (шт);;;;;;;;;;;;296,25;;
**Паста соевая темная 1кг/10шт Китай (шт);;;;;;;;;;;;308,10;;
"**Приправа ""Аджиномото"" 454 г/50шт (шт)";;;;;;;;;;;;199,16;;
**Соус Манго Чили Genso 850г/12шт Таиланд (шт);;;;;;;;;;;;662,58;;
**Соус Со вкусом лемонграсса Tamaki 0,47л/6шт (шт);;;;;;;;;;;;226,80;;
**Соус Черный перец Tamaki 470гр/6шт (шт) ;;;;;;;;;;;;174,80;;
Вермишель Фунчоза KEKESHI (брикет) 500г/30шт Китай (шт);;;;;;;;;;;;253,80;;
Вермишель Фунчоза KEKESHI (резаная) 500г/30шт Китай (шт);;;;;;;;;;;;240,30;;
Водоросли морские «Tidori» жареные, 100 л/40шт Корея (шт);;;;;;;;;;;;1 691,43;;
"Водоросли морские жареные прессован. ""Roasted seaweed"" 100л/42шт Китай (шт)";;;;;;;;;;;;1 410,55;;
Водоросли прессован.сушеные Tamaki №5 100л/40шт Корея (шт);;;;;;;;;;;;1 582,68;;
Грибы древесные МОЭР 280 гр, Китай (шт);;;;;;;;;;;;533,30;;
Грибы древесные черные МУЭР 250г Китай (шт);;;;;;;;;;;;679,73;;
Грибы сушеные(Shitake) 250г/18шт Китай (шт);;;;;;;;;;;;559,58;;
Грибы сушеные(Shitake) 250г/24шт Китай (шт);;;;;;;;;;;;538,13;;
Грибы сушеные(Shitake) 250г/40шт Китай (шт);;;;;;;;;;;;581,18;;
Икра лососевая ж/б 140г/80шт Тунгутун (шт);;;;;;;;;;;;1 318,63;;
Имбирь маринов. розовый 1кг/10шт (шт) Китай;;;;;;;;;;;;192,85;;
Имбирь маринованный белый 1кг/10шт CHO Китай (шт);;;;;;;;;;;;236,74;;
Имбирь маринованный белый 1кг/10шт Китай (шт);;;;;;;;;;;;210,14;;
Лапша гречневая Soba TAKEMURA 300г/40 шт Китай (шт);;;;;;;;;;;;88,29;;
Лапша гречневая Soba Сен Сой 4,5кг (шт);;;;;;;;;;;;2 032,18;;
Лапша гречневая Soba Сен Сой 500г/12шт (шт);;;;;;;;;;;;204,44;;
Лапша пшеничная Udon Сен Сой 4,5кг/шт (шт);;;;;;;;;;;;1 459,98;;
Лапша пшеничная Udon Сен Сой 500г/12шт (шт);;;;;;;;;;;;154,85;;
"Лапша пшеничная Удон ""RISMA"" 300г/40шт Китай (шт)";;;;;;;;;;;;86,94;;
Лапша Фунчоза 500гр/30шт Китай (шт);;;;;;;;;;;;221,40;;
Масло кунжутное Yakimal 1,8л (шт);;;;;;;;;;;;1 212,12;;
Мука темпурная 18 кг Россия (шт);;;;;;;;;;;;1 713,15;;
Мука темпурная Yakimal 1кг/15шт Россия (шт);;;;;;;;;;;;125,55;;
Палочки бамбуковые бумажные 30*100шт Китай (цена за 1уп.= 100шт). (шт);;;;;;;;;;;;270,00;;
Палочки бамбуковые с зубочисткой 20см 30*100шт Китай (цена за 1уп.= 100шт. (шт);;;;;;;;;;;;130,61;;
Панировочные сухари Kaneshiro premium 10кг Малайзия (шт) ;;;;;;;;;;;;3 886,65;;
Панировочные сухари Канеширо Premium 1кг/10шт Малайзия (шт);;;;;;;;;;;;400,95;;
Панировочные сухари Панко GOLD Tamaki 10кг;;;;;;;;;;;;2 386,80;;
Панировочные сухари Панко Tamaki 10кг;;;;;;;;;;;;2 083,05;;
Панировочные сухари Панко Tamaki 1кг/10шт  (шт);;;;;;;;;;;;238,95;;
Панировочные сухари Панко Yakimal 10кг (шт) ;;;;;;;;;;;;1 863,00;;
Панировочные сухари ПАНКО ГОЛД Yakimal 10кг (шт);;;;;;;;;;;;2 065,50;;
Перец Халапеньо резаный кольцами ж/б Виталэнд 3000мл/2шт (шт);;;;;;;;;;;;639,90;;
Перец Халапеньо резаный кольцами ж/б Король Альфахер 3100мл/6шт (шт);;;;;;;;;;;;642,33;;
Перец Халапеньо резаный кольцами ж/б Король Альфахер 3100мл/6шт (шт) НОВ;;;;;;;;;;;;604,80;;
Перец Халапеньо резаный острый 2550мл/6шт Египет (шт);;;;;;;;;;;;553,67;;
Редька маринов. (Takuan) 500г/20шт Китай (шт);;;;;;;;;;;;167,40;;
Рис Shinaki  25кг/меш Россия (шт);;;;;;;;;;;;4 488,75;;
Рис для суши среднезерный ASA 20кг/меш, Россия (шт);;;;;;;;;;;;3 341,25;;
Рис Фушигон (черный мешок) в/с 25кг/меш Китай (шт);;;;;;;;;;;;3 510,00;;
Рис шлифованный 1 сорт ТУ 25 кг Краснодар (шт);;;;;;;;;;;;2 691,56;;
Семя кунжутное белое жареное Yakimal Россия 1кг/15 (шт);;;;;;;;;;;;496,80;;
Семя кунжутное черное жареное Yakimal 1кг/15 (шт);;;;;;;;;;;;496,80;;
Смесь темпурная Канеширо classic 1кг/10шт Россия (шт);;;;;;;;;;;;218,70;;
Смесь темпурная Канеширо tempura mix 1кг/10шт Россия (шт);;;;;;;;;;;;194,40;;
"Соус для угря (Unagi) 1,5л/6шт""Genso"", Россия (шт)";;;;;;;;;;;;449,80;;
Соус для угря (Unagi) 1,8л/6шт Китай (шт);;;;;;;;;;;;782,19;;
Соус Кимчи 1,8л/6 шт Китай (шт);;;;;;;;;;;;961,74;;
Соус Кимчи Tamaki 1,8л/6шт Россия (шт);;;;;;;;;;;;879,39;;
Соус Кимчи Yakimal 1,8л/6шт (шт);;;;;;;;;;;;732,24;;
Соус кунжутный (DRESSING) 1,5л/6шт Китай (шт);;;;;;;;;;;;1 150,20;;
Соус Ореховый ASA 1,5л/6шт (шт);;;;;;;;;;;;865,35;;
"Соус рисовый Мирин Фу ""Премиум"" DUNKAN 20л Россия (шт)";;;;;;;;;;;;2 591,53;;
Соус сладкий чили для курицы ASA Professional 1,8л/6шт Россия (шт);;;;;;;;;;;;516,24;;
"Соус соевый ""Классический"" DUNKAN 20л Россия (шт)";;;;;;;;;;;;1 842,05;;
"Соус соевый ""Премиум"" DUNKAN 1л/6шт Россия (шт)";;;;;;;;;;;;124,16;;
"Соус соевый ""Премиум"" DUNKAN 20л Россия (шт)";;;;;;;;;;;;2 454,30;;
Соус соевый классический Сен Сой 19л (шт);;;;;;;;;;;;2 529,40;;
Соус соевый порц  в баночке 30мл/150шт Padam (кор);;;;;;;;;;;;8,83;;
Соус соевый Сен Сой 15гр/пакет 300шт/кор Россия (кор);;;;;;;;;;;;4,06;;
Соус соевый Сен Сой 1л/6шт Россия (шт);;;;;;;;;;;;173,41;;
Соус Спайси Tamaki 1л/9 шт Россия (шт);;;;;;;;;;;;456,30;;
Соус Терияки 1,5 л/6шт Genso Россия (шт);;;;;;;;;;;;453,60;;
Соус Терияки 1,8 л/6шт Китай (шт);;;;;;;;;;;;782,19;;
Соус Терияки Yakimal 1,8л/6шт (шт);;;;;;;;;;;;529,74;;
Соус Тонкацу ASA Professional 1,8л/6шт Россия (шт);;;;;;;;;;;;637,74;;
Соус Чили сладкий AKISO 1л/6шт Россия (шт);;;;;;;;;;;;268,15;;
Стружка тунца 500гр/6шт Китай (шт);;;;;;;;;;;;1 440,45;;
"Уксус рисовый ""Премиум"" BARUTO 20л Россия (шт)";;;;;;;;;;;;1 461,21;;
"Уксус рисовый ""Премиум"" DUNKAN 20л Россия (шт)";;;;;;;;;;;;1 998,00;;
Уксус рисовый ASA Tamaki 20л (шт);;;;;;;;;;;;1 809,00;;
"Хрен сушеный ""Васаби"" OSHI 1кг/10шт Россия (шт)";;;;;;;;;;;;400,95;;
Хрен сушеный (Wasabi) ASA Tamaki Professional 2кг/10шт, Китай (шт);;;;;;;;;;;;1 154,25;;
Хрен сушеный Васаби Cho 1кг/10шт Китай (шт);;;;;;;;;;;;847,80;;
Циновка для роллов, 27х27см Китай (шт);;;;;;;;;;;;123,53;;
Замороженные овощи;;;;;;;;;;;;;;
4 сезона ;;;;;;;;;;;;;;
"Брюссельская капуста 400г/20шт ""4 сезона"" (ЕК,НТ,СРГ,ПМ,ТМ-5)";;;;;;;;;;;;157,78;;
"Горошек зеленый  400г/20шт ""4 сезона"" (ЕК,НТ,СРГ,ТМ-5; ПМ-2)";;;;;;;;;;;;99,08;;
