Прайс-лист на 7 февраля 2025 г.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Номенклатура;;;;;;;;;;;;ХРК;ХРК ЕК;
;;;;;;;;;;;;руб;руб;
;;;;;;;;;;;;Включает НДС;Включает НДС;
;;;;;;;;;;;;Цена;Цена;
Продукция;;;;;;;;;;;;;;
HoReCa минус;;;;;;;;;;;;;;
**Гребешки без икры (10/20) с/м 1кг/10шт Россия (шт);;;;;;;;;;;;1 737,60;;
**Мясо краба в/м 1 фаланга 6кг/кор (кг);;;;;;;;;;;;7 320,00;;
БЛОК Креветки б/г с/м во льду 21/25 1.8кг/6шт Эквадор (шт);;;;;;;;;;;;2 123,28;;
БЛОК Креветки ваннамей во льду 16/20 б/г 1.8кг/6шт Эквадор (шт);;;;;;;;;;;;2 426,88;;
Кальмар тушка с/м 20кг Россия (кор);;;;;;;;;;;;336,00;;
Кальмар тушка с/м 22кг Россия (кор);;;;;;;;;;;;330,00;;
Кальмар тушка с/м 24 кг Россия (кор);;;;;;;;;;;;342,00;;
Креветки королевские б/г в/п с/м (16/20) Delight 850г(800г нетто)/10шт Вьетнам (шт);;;;;;;;;;;;1 479,84;;
Креветки королевские б/г в/п с/м (21/25) Delight 850г(800г нетто)/10шт Вьетнам (шт);;;;;;;;;;;;1 156,22;;
Креветки очищ. с хвостом (26/30) 1кг/10шт Россия (шт);;;;;;;;;;;;1 173,60;;
Креветки с/м очищ. без хвоста (26/30) Risma 1кг/10шт Индия (шт);;;;;;;;;;;;1 299,60;;
Креветки тигр. очищ. с хвостом (21/25) 1кг/10шт Россия (шт);;;;;;;;;;;;1 329,60;;
Креветки тигр. очищ. с хвостом (26/30) Risma 1кг/10шт Индия (шт);;;;;;;;;;;;1 287,60;;
Креветки тигровые 16/20 б/г в/п с/м (16/20) 1кг/10шт Индия (шт);;;;;;;;;;;;1 293,60;;
"Мидии ""Киви гигант"" 30/40 1кг/12шт Китай (шт)";;;;;;;;;;;;615,60;;
Мидии в голубых раковинах 40/60 1кг/5 шт Чили (шт);;;;;;;;;;;;506,40;;
Мидии в полов. зелён. ракушек 30/40 1кг/12шт Китай (шт);;;;;;;;;;;;591,60;;
Мидии в/м очищенные 200/300 Risma 1кг/10шт Китай (шт);;;;;;;;;;;;585,60;;
Мидии в/м очищенные 200/300 Risma 1кг/10шт Россия (шт);;;;;;;;;;;;597,60;;
Мидии очищ. 200/300 1кг/10шт Китай (шт);;;;;;;;;;;;429,60;;
